dataset,method,run_id,n_tasks,accuracy_all_avg,accuracy_seen_avg,accuracy_final,forward_transfer,backward_transfer,ece_all_avg,ece_seen_avg,ece_final,ace_all_avg,ace_seen_avg,ace_final,sce_all_avg,sce_seen_avg,sce_final,brier_all_avg,brier_final,duration_s
imagenetr,ball,02,10,0.24964258074760437,0.5041000843048096,0.40051349997520447,0.0,-0.06279221922159195,0.20008367894192536,0.04650211004376502,0.03343689719835917,0.004558627255390905,0.00018364466011154768,0.0002058613952590773,0.003081999927520752,0.0004447461509970689,0.0002509794489542643,0.9450729306641265,0.7396521571004206,4008.427965779323
imagenetr,ball,03,10,0.24773761630058289,0.5022214651107788,0.3921249806880951,0.0,-0.06521245837211609,0.2048503503277898,0.04937174411003937,0.04732621471087139,0.004566167820669443,0.00019500583622278963,0.0003128883491596213,0.003090420228322347,0.00044703079181096636,0.00040079509735107405,0.9488065442943056,0.7431742473175985,3997.016276584938
imagenetr,ball,04,10,0.24848639965057373,0.506240963935852,0.3905411958694458,0.0,-0.07691032439470291,0.19565526399215064,0.03966796151355922,0.03142502331733703,0.004560360275525954,0.00017400700232587439,0.0002108310812463363,0.0030319248046875,0.0003560274090749004,0.00024161780039469387,0.9430840988956073,0.7400345081063479,3987.982250364963
imagenetr,clora,00,10,0.2692374289035797,0.5400806069374084,0.4193013310432434,0.0,-0.1137954592704773,0.18991647700679798,0.03800259646940159,0.021585064768791205,0.00453507657919869,0.00013270866632342904,0.0001959274814991901,0.002994822016398112,0.00032004899957015085,0.00012405768076578796,0.9224604020030316,0.7125465903315189,3553.1557529000565
imagenetr,clora,01,10,0.2647450864315033,0.5325927734375,0.40700286626815796,0.0,-0.12035469710826874,0.19141277685066063,0.03735765772382096,0.022708973606427516,0.004540224826230219,0.00014977042998883333,0.00015482404228299828,0.0030055547142028806,0.000347081988999452,0.0001823712666829427,0.9271877471775352,0.7264569701223211,3736.2740808189847
imagenetr,clora,02,10,0.26330456137657166,0.5314527750015259,0.4016789495944977,0.0,-0.12184592336416245,0.19270362292627494,0.036072603745096604,0.01631031131744385,0.004546239593259796,0.00016230470363591852,0.00019103253814702225,0.003031188179016113,0.0003228717707694394,0.00011406628926595048,0.9272435318909373,0.7253225375283254,3729.6190128880553
imagenetr,clora,03,10,0.26663994789123535,0.5356789827346802,0.4179481565952301,0.0,-0.11536522209644318,0.19089955340450007,0.035298319418962366,0.017541265885035195,0.004541132019706602,0.00016403392846975906,0.0001506875728753707,0.0030305294049580893,0.00032031274842600103,0.000193475964864095,0.9221385104637803,0.7095195596219515,3736.4780012588017
imagenetr,clora,04,10,0.2667815089225769,0.5356422662734985,0.4143877625465393,0.0,-0.11454607546329498,0.19008121948683013,0.03400054264465878,0.025543727874755853,0.004534806119044706,0.0001528147866594854,0.0001630922871502118,0.002997678412119548,0.0002857600882857621,0.00013152933756510428,0.9243158967347458,0.7216175180673003,3746.6608760082163
imagenetr,ewc,00,10,0.1529628038406372,0.3674083352088928,0.1746726930141449,0.0,-0.44571197032928467,0.1364989408854395,0.029436943980126584,0.012720295270284022,0.004511334395408165,0.00017467457723808886,0.0003108470944563549,0.0023758389581044516,0.0002812837972325233,0.00011756256262461318,0.9859211188906334,0.911688690055387,3747.2470304425806
imagenetr,ewc,01,10,0.15056493878364563,0.3597589135169983,0.1906261146068573,0.0,-0.45011016726493835,0.13668254287044204,0.02774360137041628,0.013404220581054687,0.004487550754243507,0.00013138193454637529,0.00018405629535516135,0.002325039971033732,0.00023951769664711143,5.999663035074838e-05,0.9862308009641575,0.9038409560863844,3788.332658397965
imagenetr,ewc,02,10,0.152491956949234,0.36215609312057495,0.17977169156074524,0.0,-0.43584591150283813,0.1373462547957897,0.025586306462703663,0.01497817420959473,0.00452437952876937,0.00020740192766190824,0.0004504237089554469,0.002377643149852753,0.00026371238552933983,0.0002193581803639731,0.9859420763289265,0.909373970354871,3866.820595807396
imagenetr,ewc,03,10,0.14823070168495178,0.35594266653060913,0.18397927284240723,0.0,-0.4608314037322998,0.14354034177611272,0.03428960114746533,0.03203717613220215,0.004549076542505373,0.00025674102329832274,0.0006095861569046974,0.0024182367771466567,0.0003403570062748824,0.0004104825592041015,0.9917319518228798,0.9094279405788587,3813.728674273938
imagenetr,ewc,04,10,0.14949318766593933,0.36059972643852234,0.19175955653190613,0.0,-0.44903069734573364,0.14378192720562216,0.03032404451792676,0.01859299659729004,0.004514643840200501,0.00020354000651638888,0.000382877588470777,0.0024348783728281656,0.00030858505484196756,0.0002309231567382815,0.9917935767919177,0.900264663348925,3854.9287457070313
imagenetr,inflora,00,10,0.20942239463329315,0.45385709404945374,0.2744832932949066,0.0,-0.30944201350212097,0.14729909157045187,0.031522722823921025,0.02194027487436931,0.004529385360977729,0.00018916239486322308,0.0002930325456957021,0.0024652563304901126,0.00035002631463101495,0.00023509157816569023,0.953446792760074,0.8458006315193236,3958.6200258051977
imagenetr,inflora,01,10,0.20926129817962646,0.45259684324264526,0.2729582190513611,0.0,-0.30395641922950745,0.14463517245116334,0.030343318436966176,0.023089043299357095,0.004514847366444379,0.00015603272975586472,0.00019878220697243991,0.0024673450934092206,0.00029463554883213275,0.00023371465365091965,0.949682994227562,0.8399958860221726,4086.054074459709
imagenetr,inflora,02,10,0.21128472685813904,0.4560653567314148,0.2812575697898865,0.0,-0.3009724020957947,0.14239085197535653,0.033794826250236096,0.02929026031494141,0.0045164206367961975,0.0001502500523243174,0.00023198734020193413,0.0024375446240107214,0.0003253483075823136,0.0002247120920817057,0.9481999436704498,0.8361653914438393,4109.002240665723
imagenetr,inflora,03,10,0.20643778145313263,0.45008987188339233,0.2677069902420044,0.0,-0.31669825315475464,0.15034561624725656,0.030356177928204976,0.017241978804270423,0.004530436642117915,0.00014536123270934457,0.00023356107289592426,0.0025342087777455646,0.0002813941203009819,0.00018052789052327477,0.9574890995876224,0.8446851619110195,4027.3653928651474
imagenetr,inflora,04,10,0.21106159687042236,0.4589020311832428,0.2745063006877899,0.0,-0.3201068341732025,0.14215044941579302,0.03875795823040825,0.04075917243957519,0.0045289778889757975,0.0002546866605942012,0.00034688996036847427,0.0024234717391331995,0.0003966752528721133,0.0003971913750966392,0.950058109497159,0.8476998773733752,4054.306432360783
