dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
cifar100,ball,2919942_0,4,0.30236742424242424,0.26666666666666666,0.0165
cifar100,ball,2919942_0,5,0.3699691022028688,0.36885245901639346,0.0244
cifar100,ball,2919942_0,6,0.4344502880586592,0.4329608938547486,0.0358
cifar100,ball,2919942_0,7,0.5000069588776722,0.47980997624703087,0.0421
cifar100,ball,2919942_0,8,0.5647382023358586,0.5454545454545454,0.0495
cifar100,ball,2919942_0,9,0.6327735637796337,0.6056034482758621,0.0464
cifar100,ball,2919942_0,10,0.7005231873063017,0.7252066115702479,0.0484
cifar100,ball,2919942_0,11,0.7668578235815603,0.7570921985815603,0.0564
cifar100,ball,2919942_0,12,0.8334600848082596,0.8230088495575221,0.0678
cifar100,ball,2919942_0,13,0.903650323275862,0.8660098522167488,0.1015
cifar100,ball,2919942_0,14,0.9842998040969563,0.975609756097561,0.4961
cifar100,ball,2924856_3,0,0.0,0.0,0.0
cifar100,ball,2924856_3,1,0.1185302734375,0.2222222222222222,0.0009
cifar100,ball,2924856_3,2,0.17881266276041666,0.1875,0.0048
cifar100,ball,2924856_3,3,0.23839201750578703,0.25925925925925924,0.0108
cifar100,ball,2924856_3,4,0.30415522944819817,0.2927927927927928,0.0222
cifar100,ball,2924856_3,5,0.36979949823483266,0.3807531380753138,0.0239
cifar100,ball,2924856_3,6,0.4354115224255181,0.4896373056994819,0.0386
cifar100,ball,2924856_3,7,0.5009842261070628,0.5291479820627802,0.0446
cifar100,ball,2924856_3,8,0.5634829452614379,0.5686274509803921,0.0459
cifar100,ball,2924856_3,9,0.6341061414030082,0.6016597510373444,0.0482
cifar100,ball,2924856_3,10,0.7005994410696392,0.6513026052104208,0.0499
cifar100,ball,2924856_3,11,0.7684155356761946,0.773037542662116,0.0586
cifar100,ball,2924856_3,12,0.8351219342589009,0.8235294117647058,0.0646
cifar100,ball,2924856_3,13,0.9034084885503654,0.8914405010438413,0.0958
cifar100,ball,2924856_3,14,0.9845049233700631,0.9733306188925082,0.4912
cifar100,ball,2924483_2,0,0.0,0.0,0.0
cifar100,ball,2924483_2,1,0.117608642578125,0.1,0.001
cifar100,ball,2924483_2,2,0.17479575552591464,0.07317073170731707,0.0041
cifar100,ball,2924483_2,3,0.2345300099206349,0.2777777777777778,0.0126
cifar100,ball,2924483_2,4,0.3020838037391618,0.3179190751445087,0.0173
cifar100,ball,2924483_2,5,0.36784494955708663,0.4094488188976378,0.0254
cifar100,ball,2924483_2,6,0.43582636932206287,0.453551912568306,0.0366
cifar100,ball,2924483_2,7,0.5002524915115694,0.4869215291750503,0.0497
cifar100,ball,2924483_2,8,0.5658535357603093,0.5979381443298969,0.0485
cifar100,ball,2924483_2,9,0.6337384794529598,0.6363636363636364,0.0473
cifar100,ball,2924483_2,10,0.6999030631330571,0.7090239410681399,0.0543
cifar100,ball,2924483_2,11,0.7687618371212122,0.7670454545454546,0.0528
cifar100,ball,2924483_2,12,0.8338973694316436,0.8172043010752689,0.0651
cifar100,ball,2924483_2,13,0.9032062058787731,0.8821811100292113,0.1027
cifar100,ball,2924483_2,14,0.984343432708247,0.9784500621632822,0.4826
cifar100,ball,2924430_1,0,0.0,0.0,0.0
cifar100,ball,2924430_1,1,0.1170806884765625,0.08333333333333333,0.0012
cifar100,ball,2924430_1,2,0.17189002403846154,0.2153846153846154,0.0065
cifar100,ball,2924430_1,3,0.23987038352272727,0.32727272727272727,0.011
cifar100,ball,2924430_1,4,0.3002596768465909,0.3333333333333333,0.0198
cifar100,ball,2924430_1,5,0.3673704092142283,0.36977491961414793,0.0311
cifar100,ball,2924430_1,6,0.4331591671994885,0.4296675191815857,0.0391
cifar100,ball,2924430_1,7,0.5002880431058114,0.5021929824561403,0.0456
cifar100,ball,2924430_1,8,0.5659446022727272,0.5494949494949495,0.0495
cifar100,ball,2924430_1,9,0.6347111514325557,0.6064908722109533,0.0493
cifar100,ball,2924430_1,10,0.6994386629293893,0.6545801526717557,0.0524
cifar100,ball,2924430_1,11,0.7674497668738899,0.7424511545293073,0.0563
