dataset,method,run_id,bin,bin_probability,bin_frequency,bin_weight
core50,ball,2,14,0.9725954723760548,0.6255274261603375,0.0948
core50,ball,1,0,0.0,0.0,0.0
core50,ball,1,1,0.11762874498279817,0.1743119266055046,0.0109
core50,ball,1,2,0.1708796279235456,0.1430817610062893,0.0636
core50,ball,1,3,0.2342536103769749,0.18029739776951673,0.1076
core50,ball,1,4,0.30032906916469193,0.24739336492890995,0.1055
core50,ball,1,5,0.3664910295356112,0.2646775745909528,0.1039
core50,ball,1,6,0.43188711062566704,0.327641408751334,0.0937
core50,ball,1,7,0.49897882296954316,0.3616751269035533,0.0788
core50,ball,1,8,0.565015789969834,0.38763197586727,0.0663
core50,ball,1,9,0.6320925071022727,0.3890909090909091,0.055
core50,ball,1,10,0.699645461635289,0.4308231173380035,0.0571
core50,ball,1,11,0.7660724364306084,0.43346007604562736,0.0526
core50,ball,1,12,0.8327848401372833,0.47591522157996147,0.0519
core50,ball,1,13,0.9016085582961912,0.46677471636953,0.0617
core50,ball,1,14,0.9713415233520241,0.5853391684901532,0.0914
core50,ball,0,0,0.0,0.0,0.0
core50,ball,0,1,0.11770203293010753,0.13978494623655913,0.0093
core50,ball,0,2,0.17069826532879148,0.17535545023696683,0.0633
core50,ball,0,3,0.2351167123901132,0.19653179190751446,0.1038
core50,ball,0,4,0.2999916209576437,0.24912891986062718,0.1148
core50,ball,0,5,0.3660144170730257,0.2759276879162702,0.1051
core50,ball,0,6,0.43224239139766485,0.3120879120879121,0.091
core50,ball,0,7,0.49931415173147026,0.3596597812879708,0.0823
core50,ball,0,8,0.5661069320820433,0.38235294117647056,0.0646
core50,ball,0,9,0.6328133360980308,0.4041095890410959,0.0584
core50,ball,0,10,0.7004140698842155,0.4820415879017013,0.0529
core50,ball,0,11,0.7683727384868421,0.4926315789473684,0.0475
core50,ball,0,12,0.8342150903767821,0.5539714867617108,0.0491
core50,ball,0,13,0.9022058174435028,0.615819209039548,0.0531
core50,ball,0,14,0.9737600079019562,0.6316793893129771,0.1048
core50,ball,3,0,0.0660400390625,0.0,0.0001
core50,ball,3,1,0.11848072014232673,0.10891089108910891,0.0101
core50,ball,3,2,0.1704603710601334,0.1566265060240964,0.0581
core50,ball,3,3,0.23525492857365404,0.20638085742771686,0.1003
core50,ball,3,4,0.29955311555785585,0.21844225604297224,0.1117
core50,ball,3,5,0.36641797253146174,0.28654404646660214,0.1033
core50,ball,3,6,0.4324238868492483,0.32516703786191536,0.0898
core50,ball,3,7,0.4987381044238683,0.3319615912208505,0.0729
core50,ball,3,8,0.56543357508957,0.3821656050955414,0.0628
core50,ball,3,9,0.6324564435840708,0.40353982300884955,0.0565
core50,ball,3,10,0.6991787997159091,0.4381818181818182,0.055
core50,ball,3,11,0.7651201042651229,0.42722117202268434,0.0529
core50,ball,3,12,0.8334601781414186,0.48336252189141854,0.0571
core50,ball,3,13,0.9010720993322203,0.5258764607679466,0.0599
core50,ball,3,14,0.9740765018550228,0.4730593607305936,0.1095
core50,ball,4,0,0.0,0.0,0.0
core50,ball,4,1,0.1179851825420673,0.18461538461538463,0.013
core50,ball,4,2,0.17192361826199856,0.18051575931232092,0.0698
core50,ball,4,3,0.23350423177083332,0.23982683982683983,0.1155
core50,ball,4,4,0.29965393739397794,0.2866836301950806,0.1179
